Player ID,First Name_x,Last Name_x,Position_x,Salary ($),Games Played_x,Total Points,Average Points,First Name_y,Last Name_y,Full Name,Age,Height (cm),Weight (kg),Jumper Number,Kicking Foot,State of Origin,Draft Year,Debut Year,Draft Position,Draft Type,Position_y,Recruited From,Date of Birth,Photo URL,Team,Team Abbreviation,Games Played_y,Total matchesPlayed,Total timeOnGroundPercentage,Total behinds,Total bounces,Total centreBounceAttendances,Total centreClearances,Total clangers,Total contestDefLosses,Total contestDefLossPercentage,Total contestDefOneOnOnes,Total contestedMarks,Total contestedPossessionRate,Total contestedPossessions,Total contestOffOneOnOnes,Total contestOffWins,Total contestOffWinsPercentage,Total defHalfPressureActs,Total disposalEfficiency,Total disposals,Total dreamTeamPoints,Total effectiveDisposals,Total effectiveKicks,Total f50GroundBallGets,Total freesAgainst,Total freesFor,Total goalAccuracy,Total goalAssists,Total goals,Total groundBallGets,Total handballs,Total hitouts,Total hitoutsToAdvantage,Total hitoutToAdvantageRate,Total hitoutWinPercentage,Total inside50s,Total interceptMarks,Total intercepts,Total kickEfficiency,Total kickins,Total kickinsPlayon,Total kicks,Total kickToHandballRatio,Total marks,Total marksInside50,Total marksOnLead,Total metresGained,Total onePercenters,Total pressureActs,Total ranking,Total ratingPoints,Total rebound50s,Total ruckContests,Total scoreInvolvements,Total scoreLaunches,Total shotsAtGoal,Total spoils,Total stoppageClearances,Total tackles,Total tacklesInside50,Total totalClearances,Total totalPossessions,Total turnovers,Total uncontestedPossessions,Average matchesPlayed,Average timeOnGroundPercentage,Average behinds,Average bounces,Average centreBounceAttendances,Average centreClearances,Average clangers,Average contestDefLosses,Average contestDefLossPercentage,Average contestDefOneOnOnes,Average contestedMarks,Average contestedPossessionRate,Average contestedPossessions,Average contestOffOneOnOnes,Average contestOffWins,Average contestOffWinsPercentage,Average defHalfPressureActs,Average disposalEfficiency,Average disposals,Average dreamTeamPoints,Average effectiveDisposals,Average effectiveKicks,Average f50GroundBallGets,Average freesAgainst,Average freesFor,Average goalAccuracy,Average goalAssists,Average goals,Average groundBallGets,Average handballs,Average hitouts,Average hitoutsToAdvantage,Average hitoutToAdvantageRate,Average hitoutWinPercentage,Average inside50s,Average interceptMarks,Average intercepts,Average kickEfficiency,Average kickins,Average kickinsPlayon,Average kicks,Average kickToHandballRatio,Average marks,Average marksInside50,Average marksOnLead,Average metresGained,Average onePercenters,Average pressureActs,Average ratingPoints,Average rebound50s,Average ruckContests,Average scoreInvolvements,Average scoreLaunches,Average shotsAtGoal,Average spoils,Average stoppageClearances,Average tackles,Average tacklesInside50,Average totalClearances,Average totalPossessions,Average turnovers,Average uncontestedPossessions,Fantasy Salary ($),Value per Fantasy Point,Break Even Score,Projected Price Change,Fantasy Points per Game,Metres Gained per Possession,Score Involvement Rate (%),Clanger Rate (%),Disposal Efficiency (%),Kick Efficiency (%),Tackle Efficiency (%),Hitout Win Rate (%),Goal Conversion Rate (%),Career Experience (Years),Draft Age,Height-to-Weight Ratio,Underpriced Flag,Primary Position,Secondary Position
992468,Rowan,Marshall,RUCK,1201000,23,2693,117.1,Rowan,Marshall,Rowan Marshall,29,201,0,19,RIGHT,VIC,2016,2017.0,10.0,rookieElevation,RUCK,Heathmere (Vic)/North Ballarat U18/North Ballarat (VFL),24/11/1995,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/992468.png?im=Scale,width=0.6,height=0.6",St Kilda,STK,23.0,23.0,87.3,8.0,1.0,501.0,46.0,112.0,2.0,18.2,11.0,23.0,51.9,243.0,28.0,7.0,25.0,142.0,62.3,477.0,2693.0,297.0,189.0,15.0,50.0,44.0,46.9,5.0,15.0,107.0,136.0,608.0,153.0,25.2,36.9,97.0,36.0,77.0,55.4,0.0,0.0,341.0,2.5,134.0,18.0,6.0,7831.0,53.0,299.0,20.0,532.0,25.0,1648.0,110.0,45.0,32.0,37.0,86.0,99.0,9.0,132.0,468.0,98.0,225.0,23.0,87.3,0.3,0.0,501.0,2.0,4.9,0.1,18.2,0.5,1.0,51.9,10.6,1.2,0.3,25.0,6.2,62.3,20.7,117.1,12.9,8.2,0.7,2.2,1.9,46.9,0.2,0.7,4.7,5.9,26.4,6.7,25.2,36.9,4.2,1.6,3.3,55.4,0.0,0.0,14.8,2.5,5.8,0.8,0.3,340.5,2.3,13.0,532.0,1.1,71.7,4.8,2.0,1.4,1.6,3.7,4.3,0.4,5.7,20.3,4.3,9.8,1201446.0,446.14,117.1,0.0,117.09,16.42,23.06,23.48,62.26,55.43,33.11,25.16,46.88,8.0,21,inf,True,RUC,
1004965,Tristan,Xerri,RUCK,1175000,23,2633,114.5,Tristan,Xerri,Tristan Xerri,25,202,0,38,RIGHT,VIC,2017,2020.0,72.0,nationalDraft,RUCK,Caroline Springs (Vic)/Western U18,15/03/1999,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1004965.png?im=Scale,width=0.6,height=0.6",North Melbourne,NMFC,23.0,23.0,83.8,3.0,1.0,587.0,53.0,113.0,3.0,20.0,15.0,21.0,70.1,289.0,11.0,2.0,18.2,216.0,67.0,412.0,2633.0,276.0,110.0,7.0,58.0,54.0,61.5,6.0,8.0,118.0,218.0,794.0,200.0,25.2,43.4,50.0,25.0,62.0,56.7,0.0,0.0,194.0,0.9,66.0,9.0,1.0,4140.0,74.0,371.0,46.0,456.5,31.0,1830.0,95.0,62.0,13.0,68.0,99.0,173.0,12.0,152.0,412.0,74.0,123.0,23.0,83.8,0.1,0.0,587.0,2.3,4.9,0.1,20.0,0.7,0.9,70.1,12.6,0.5,0.1,18.2,9.4,67.0,17.9,114.5,12.0,4.8,0.3,2.5,2.3,61.5,0.3,0.3,5.1,9.5,34.5,8.7,25.2,43.4,2.2,1.1,2.7,56.7,0.0,0.0,8.4,0.9,2.9,0.4,0.0,180.0,3.2,16.1,456.5,1.3,79.6,4.1,2.7,0.6,3.0,4.3,7.5,0.5,6.6,17.9,3.2,5.3,1174770.0,446.17,114.5,0.0,114.48,10.05,23.06,27.43,66.99,56.7,46.63,25.19,61.54,5.0,18,inf,False,RUC,
1023518,Harry,Sheezel,DEFENDER,1151000,21,2355,112.1,Harry,Sheezel,Harry Sheezel,20,185,0,3,RIGHT,VIC,2022,2023.0,3.0,nationalDraft,MEDIUM_DEFENDER,Ajax (Vic)/Mount Scopus College (Vic)/Sandringham U18,13/10/2004,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1023518.png?im=Scale,width=0.6,height=0.6",North Melbourne,NMFC,21.0,21.0,84.9,1.0,4.0,197.0,26.0,58.0,1.0,50.0,2.0,5.0,35.2,209.0,2.0,1.0,50.0,248.0,75.7,626.0,2355.0,474.0,233.0,20.0,15.0,14.0,77.8,20.0,14.0,162.0,296.0,0.0,0.0,0.0,0.0,75.0,13.0,78.0,70.6,36.0,34.0,330.0,1.1,133.0,8.0,0.0,8854.0,28.0,463.0,41.0,465.5,68.0,0.0,109.0,29.0,18.0,14.0,47.0,80.0,7.0,73.0,593.0,108.0,384.0,21.0,84.9,0.0,0.2,197.0,1.2,2.8,0.0,50.0,0.1,0.2,35.2,10.0,0.1,0.0,50.0,11.8,75.7,29.8,112.1,22.6,11.1,1.0,0.7,0.7,77.8,1.0,0.7,7.7,14.1,0.0,0.0,0.0,0.0,3.6,0.6,3.7,70.6,36.0,34.0,15.7,1.1,6.3,0.4,0.0,421.6,1.3,22.0,465.5,3.2,0.0,5.2,1.4,0.9,0.7,2.2,3.8,0.3,3.5,28.2,5.1,18.3,1150146.0,488.38,112.1,0.0,112.14,14.14,17.41,9.27,75.72,70.61,17.28,,77.78,2.0,18,inf,False,DEF,
290528,Max,Gawn,RUCK,1147000,21,2347,111.8,Max,Gawn,Max Gawn,33,209,0,11,RIGHT,VIC,2009,2011.0,34.0,nationalDraft,RUCK,Ormond (Vic)/Sandringham U18,30/12/1991,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/290528.png?im=Scale,width=0.6,height=0.6",Melbourne,MELB,21.0,21.0,84.9,9.0,0.0,464.0,31.0,76.0,2.0,20.0,10.0,42.0,62.2,252.0,19.0,6.0,31.6,100.0,63.8,401.0,2348.0,256.0,141.0,8.0,24.0,48.0,40.7,4.0,11.0,63.0,166.0,714.0,199.0,27.9,46.8,51.0,41.0,84.0,60.0,0.0,0.0,235.0,1.4,110.0,14.0,11.0,5697.0,57.0,186.0,7.0,576.4,51.0,1527.0,110.0,69.0,27.0,48.0,74.0,54.0,4.0,105.0,405.0,65.0,153.0,21.0,84.9,0.4,0.0,464.0,1.5,3.6,0.1,20.0,0.5,2.0,62.2,12.0,0.9,0.3,31.6,4.8,63.8,19.1,111.8,12.2,6.7,0.4,1.1,2.3,40.7,0.2,0.5,3.0,7.9,34.0,9.5,27.9,46.8,2.4,2.0,4.0,60.0,0.0,0.0,11.2,1.4,5.2,0.7,0.5,271.3,2.7,8.9,576.4,2.4,72.7,5.2,3.3,1.3,2.3,3.5,2.6,0.2,5.0,19.3,3.1,7.3,1147068.0,488.74,111.8,0.0,111.76,14.21,27.43,18.95,63.84,60.0,29.03,27.87,40.74,14.0,18,inf,True,RUC,
294305,Lachie,Whitfield,DEFENDER,1146000,23,2569,111.7,Lachie,Whitfield,Lachie Whitfield,30,185,0,6,RIGHT,VIC,2012,2013.0,1.0,nationalDraft,MEDIUM_DEFENDER,Mount Martha (Vic)/Mornington (Vic)/Peninsula Gram (Vic)/Dand U18,18/07/1994,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/294305.png?im=Scale,width=0.6,height=0.6",GWS GIANTS,GWS,25.0,25.0,82.0,1.0,14.0,0.0,9.0,93.0,5.0,50.0,10.0,3.0,23.3,142.0,0.0,0.0,0.0,226.0,82.1,754.0,2741.0,619.0,396.0,2.0,32.0,20.0,0.0,5.0,0.0,111.0,265.0,0.0,0.0,0.0,0.0,65.0,12.0,105.0,81.0,159.0,147.0,489.0,1.8,177.0,1.0,8.0,12378.0,27.0,320.0,81.0,406.2,145.0,0.0,103.0,29.0,3.0,13.0,24.0,72.0,2.0,33.0,609.0,123.0,467.0,25.0,82.0,0.0,0.6,0.0,0.4,3.7,0.2,50.0,0.4,0.1,23.3,5.7,0.0,0.0,0.0,9.0,82.1,30.2,109.6,24.8,15.8,0.1,1.3,0.8,0.0,0.2,0.0,4.4,10.6,0.0,0.0,0.0,0.0,2.6,0.5,4.2,81.0,159.0,147.0,19.6,1.8,7.1,0.0,0.3,495.1,1.1,12.8,406.2,5.8,0.0,4.1,1.2,0.1,0.5,1.0,2.9,0.1,1.3,24.4,4.9,18.7,1146042.0,446.1,111.7,-21546.0,111.7,16.42,13.66,12.33,82.1,80.98,22.5,,0.0,12.0,18,inf,True,DEF,
261224,Dayne,Zorko,DEFENDER,1131000,23,2536,110.3,Dayne,Zorko,Dayne Zorko,36,175,0,15,RIGHT,QLD,2011,2012.0,,other,MEDIUM_DEFENDER,Surfers Paradise (Qld)/Broadbeach (Qld),09/02/1989,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/261224.png?im=Scale,width=0.6,height=0.6",Brisbane Lions,BL,27.0,27.0,83.0,6.0,5.0,12.0,5.0,86.0,2.0,28.6,7.0,2.0,23.7,142.0,0.0,0.0,0.0,268.0,77.8,711.0,2982.0,553.0,436.0,7.0,24.0,23.0,52.9,7.0,9.0,117.0,145.0,0.0,0.0,0.0,0.0,73.0,29.0,142.0,77.0,111.0,101.0,566.0,3.9,213.0,3.0,2.0,13801.0,31.0,421.0,119.0,378.2,130.0,0.0,138.0,50.0,17.0,16.0,21.0,86.0,5.0,26.0,598.0,96.0,456.0,27.0,83.0,0.2,0.2,12.0,0.2,3.2,0.1,28.6,0.3,0.1,23.7,5.3,0.0,0.0,0.0,9.9,77.8,26.3,110.4,20.5,16.1,0.3,0.9,0.9,52.9,0.3,0.3,4.3,5.4,0.0,0.0,0.0,0.0,2.7,1.1,5.3,77.0,111.0,101.0,21.0,3.9,7.9,0.1,0.1,511.2,1.1,15.6,378.2,4.8,0.0,5.1,1.9,0.6,0.6,0.8,3.2,0.2,1.0,22.1,3.6,16.9,1131678.0,446.25,110.3,1026.0,110.26,19.41,19.41,12.1,77.78,77.03,20.43,,52.94,13.0,22,inf,True,DEF,
291790,Adam,Treloar,MIDFIELDER,1129000,22,2420,110.0,Adam,Treloar,Adam Treloar,31,185,0,1,RIGHT,VIC,2011,2012.0,,other,MIDFIELDER,Noble Park (Vic)/Dandenong U18/GWS/Collingwood,09/03/1993,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/291790.png?im=Scale,width=0.6,height=0.6",Western Bulldogs,WB,23.0,23.0,82.9,6.0,21.0,511.0,46.0,86.0,1.0,100.0,1.0,3.0,37.7,270.0,1.0,1.0,100.0,157.0,71.9,725.0,2526.0,521.0,191.0,28.0,20.0,22.0,51.6,13.0,16.0,219.0,377.0,0.0,0.0,0.0,0.0,104.0,4.0,73.0,54.9,0.0,0.0,348.0,0.9,76.0,6.0,0.0,9433.0,14.0,341.0,15.0,547.9,44.0,0.0,160.0,44.0,31.0,5.0,87.0,109.0,14.0,133.0,717.0,117.0,447.0,23.0,82.9,0.3,0.9,511.0,2.0,3.7,0.0,100.0,0.0,0.1,37.7,11.7,0.0,0.0,100.0,6.8,71.9,31.5,109.8,22.7,8.3,1.2,0.9,1.0,51.6,0.6,0.7,9.5,16.4,0.0,0.0,0.0,0.0,4.5,0.2,3.2,54.9,0.0,0.0,15.1,0.9,3.3,0.3,0.0,410.1,0.6,14.8,547.9,1.9,0.0,7.0,1.9,1.3,0.2,3.8,4.7,0.6,5.8,31.2,5.1,19.4,1128600.0,466.36,110.0,-2052.0,110.0,13.01,22.07,11.86,71.86,54.89,31.96,,51.61,13.0,18,inf,False,MID,
992016,Zach,Merrett,MIDFIELDER,1116000,23,2503,108.8,Zach,Merrett,Zach Merrett,29,179,0,7,LEFT,VIC,2013,2014.0,26.0,nationalDraft,MIDFIELDER,Cobden (Vic)/Melbourne Grammar (Vic)/Sandringham U18,03/10/1995,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/992016.png?im=Scale,width=0.6,height=0.6",Essendon,ESS,23.0,23.0,84.5,15.0,10.0,521.0,49.0,81.0,1.0,33.3,3.0,2.0,33.9,220.0,3.0,0.0,0.0,281.0,69.4,648.0,2501.0,450.0,223.0,19.0,14.0,34.0,41.2,16.0,14.0,151.0,287.0,0.0,0.0,0.0,0.0,109.0,9.0,65.0,61.8,3.0,3.0,361.0,1.3,99.0,10.0,10.0,10260.0,37.0,544.0,6.0,577.1,37.0,0.0,163.0,38.0,34.0,9.0,49.0,114.0,20.0,98.0,649.0,98.0,429.0,23.0,84.5,0.7,0.4,521.0,2.1,3.5,0.0,33.3,0.1,0.1,33.9,9.6,0.1,0.0,0.0,12.2,69.4,28.2,108.7,19.6,9.7,0.8,0.6,1.5,41.2,0.7,0.6,6.6,12.5,0.0,0.0,0.0,0.0,4.7,0.4,2.8,61.8,3.0,3.0,15.7,1.3,4.3,0.4,0.4,446.1,1.6,23.7,577.1,1.6,0.0,7.1,1.7,1.5,0.4,2.1,5.0,0.9,4.3,28.2,4.3,18.7,1116288.0,445.98,108.8,-1026.0,108.83,15.83,25.15,12.5,69.44,61.77,20.96,,41.18,11.0,18,inf,True,MID,
1013128,Errol,Gulden,MIDFIELDER,1113000,23,2495,108.5,Errol,Gulden,Errol Gulden,22,175,0,21,LEFT,NSW,2020,2021.0,32.0,nationalDraft,MIDFIELDER,UNSW-Eastern Suburbs (NSW),18/07/2002,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1013128.png?im=Scale,width=0.6,height=0.6",Sydney Swans,SYD,26.0,26.0,90.5,16.0,7.0,266.0,27.0,118.0,0.0,0.0,1.0,1.0,32.4,225.0,0.0,0.0,0.0,258.0,64.8,705.0,2776.0,457.0,299.0,9.0,29.0,27.0,42.9,29.0,15.0,163.0,191.0,0.0,0.0,0.0,0.0,172.0,15.0,104.0,58.2,1.0,1.0,514.0,2.7,146.0,4.0,4.0,14423.0,30.0,519.0,13.0,549.1,70.0,0.0,189.0,44.0,35.0,10.0,73.0,92.0,7.0,100.0,695.0,155.0,470.0,26.0,90.5,0.6,0.3,266.0,1.0,4.5,0.0,0.0,0.0,0.0,32.4,8.7,0.0,0.0,0.0,9.9,64.8,27.1,106.8,17.6,11.5,0.3,1.1,1.0,42.9,1.1,0.6,6.3,7.3,0.0,0.0,0.0,0.0,6.6,0.6,4.0,58.2,1.0,1.0,19.8,2.7,5.6,0.2,0.2,554.8,1.2,20.0,549.1,2.7,0.0,7.3,1.7,1.3,0.4,2.8,3.5,0.3,3.8,26.7,6.0,18.1,1113210.0,446.18,108.5,-17442.0,108.48,20.46,26.81,16.74,64.82,58.17,17.73,,42.86,4.0,18,inf,True,MID,
1009260,Sam,Flanders,DEFENDER / MIDFIELDER,1106000,22,2371,107.8,Sam,Flanders,Sam Flanders,23,183,0,3,RIGHT,VIC,2019,2020.0,11.0,nationalDraft,MEDIUM_DEFENDER,Moe (Vic)/Lowanna College (Vic)/Gippsland U18,24/07/2001,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1009260.png?im=Scale,width=0.6,height=0.6",Gold Coast SUNS,GCFC,22.0,22.0,82.7,5.0,9.0,193.0,19.0,72.0,0.0,0.0,3.0,0.0,31.3,201.0,0.0,0.0,0.0,194.0,78.8,680.0,2371.0,536.0,270.0,16.0,11.0,27.0,61.1,15.0,11.0,160.0,300.0,0.0,0.0,0.0,0.0,82.0,16.0,106.0,71.1,50.0,49.0,380.0,1.3,122.0,2.0,5.0,9853.0,16.0,350.0,48.0,455.6,66.0,0.0,132.0,41.0,18.0,3.0,61.0,50.0,5.0,80.0,643.0,110.0,442.0,22.0,82.7,0.2,0.4,193.0,0.9,3.3,0.0,0.0,0.1,0.0,31.3,9.1,0.0,0.0,0.0,8.8,78.8,30.9,107.8,24.4,12.3,0.7,0.5,1.2,61.1,0.7,0.5,7.3,13.6,0.0,0.0,0.0,0.0,3.7,0.7,4.8,71.1,50.0,49.0,17.3,1.3,5.5,0.1,0.2,447.9,0.7,15.9,455.6,3.0,0.0,6.0,1.9,0.8,0.1,2.8,2.3,0.2,3.6,29.2,5.0,20.1,1106028.0,466.48,107.8,0.0,107.77,14.49,19.41,10.59,78.82,71.05,14.29,,61.11,5.0,18,inf,True,DEF,MID
